Background 101 153 248
Tile Pipe     36 1
Tile Pipe     32 -1
Tile Ground   0  0
Tile Ground   1  0
Tile Ground   2  0
Tile Ground   3  0
Tile Ground   4  0
Tile Ground   5  0
Tile Ground   6  0
Tile Ground   7  0
Tile Ground   8  0
Tile Ground   9  0
Tile Ground   10 0
Tile Ground   11 0
Tile Ground   12 0
Tile Ground   13 0
Tile Ground   14 0
Tile Ground   15 0
Tile Ground   16 0
Tile Ground   17 0
Tile Ground   18 0
Tile Ground   19 0
Tile Ground   20 0
Tile Ground   21 0
Tile Ground   22 0
Tile Ground   23 0
Tile Ground   24 0
Tile Ground   25 0
Tile Ground   26 0
Tile Ground   27 0
Tile Ground   28 0
Tile Ground   32 0
Tile Ground   33 0
Tile Ground   34 0
Tile Ground   35 0
Tile Ground   36 0
Tile Ground   37 0
Tile Ground   38 0
Tile Ground   39 0
Tile Ground   40 0
Tile Ground   40 0
Tile Ground   41 0
Tile Ground   42 0
Tile Ground   43 0
Tile Ground   44 0
Tile Ground   45 0
Tile Ground   46 0
Tile Ground   47 0
Tile Ground   48 0
Tile Ground   49 0
Tile Ground   50 0
Dec  Tree_L   2  1
Dec  Cloud_S  10 14
Dec  Bush_L   15 1
Tile Coin     11 4
Tile Brick    14 4
Tile Coin     15 4
Tile Brick    16 4
Tile Coin     17 4
Tile Brick    18 4
Tile Coin     16 7
Tile Block    25 1
Tile Block    26 1
Tile Block    27 1
Tile Block    28 1
Tile Block    26 2
Tile Block    27 2
Tile Block    28 2
Tile Block    27 3
Tile Block    28 3
Tile Block    28 4
Player 1 2 64 64 5 -5 18 0.75 Stand
